The first table given below gives the best feasible solution value
found by the algorithms given in
- J.E.Beasley and P.C.Chu "A genetic algorithm for the multidimensional knapsack problem" Journal of Heuristics, 4: 63–86 (1998)
- M. Vasquez and Y. Vimont "Improved results on the 0–1 multidimensional knapsack problem" European Journal of Operational Research 165 (2005) 70–81
- E. Angelelli, R. Mansini, M.G. Speranza "Kernel Search: a heuristic framework for MILP problems with binary variables", Technical Report 2007-04-56 of Department of Electronics and Automation, University of Brescia (2007)
- Best of all
The second table given below gives the value of the LP relaxation
for each of the problems.



Problem_Name	Beasley (1998)	Vasquez (2005)	Angelelli (2007)	Best_Feasible_Solution_Value
30.100-21	60027	60027	60027	60027
30.100-22	58025	58025	58052	58052
30.100-23	60776	60776	60776	60776
30.100-24	58884	58884	58884	58884
30.100-25	60011	60011	60011	60011
30.100-26	58132	58132	58132	58132
30.100-27	59064	59064	59064	59064
30.100-28	58975	58975	58975	58975
30.100-29	60603	60603	60603	60603
30.250-00	56693	56693	56824	56824
30.250-01	58318	58318	58520	58520
30.250-02	56553	56553	56572	56572
30.250-03	56863	56863	56930	56930
30.250-04	56629	56629	56629	56629
30.250-05	57119	57119	57205	57205
30.250-06	56292	56292	56348	56348
30.250-07	56403	56403	56457	56457
30.250-08	57442	57442	57442	57442
30.250-09	56447	56447	56447	56447
30.250-10	107689	107689	107752	107752
30.250-11	108338	108338	108379	108379
30.250-12	106385	106385	106440	106440
30.250-13	106796	106796	106851	106851
30.250-14	107396	107396	107414	107414
30.250-15	107246	107246	107246	107246
30.250-16	106308	106308	106372	106372
30.250-17	103993	103993	104014	104014
30.250-18	106835	106835	106835	106835
30.250-19	105751	105751	105780	105780
30.250-20	150083	150083	150163	150163
30.250-21	149907	149907	149958	149958
30.250-22	152993	152993	153007	153007
30.250-23	153169	153169	153234	153234
30.250-24	150287	150287	150287	150287
30.250-25	148544	148544	148574	148574
30.250-26	147471	147471	147477	147477
30.250-27	152841	152841	152912	152912
30.250-28	149568	149568	149570	149570
30.250-29	149572	149572	149668	149668
30.500-00	115868	116056	115956	116056
30.500-01	114667	114810	114732	114810
30.500-02	116661	116712	116682	116712
30.500-03	115237	115329	115247	115329
30.500-04	116353	116525	116459	116525
30.500-05	115604	115741	115734	115741
30.500-06	113952	114181	114072	114181
30.500-07	114199	114348	114316	114348
30.500-08	115247	115419	115419	115419
30.500-09	116947	117116	117023	117116
30.500-10	217995	218104	218072	218104
30.500-11	214534	214648	214626	214648
30.500-12	215854	215978	215903	215978
30.500-13	217836	217910	217892	217910
30.500-14	215566	215689	215640	215689
30.500-15	215762	215890	215854	215890
30.500-16	215772	215907	215883	215907
30.500-17	216336	216542	216450	216542
30.500-18	217290	217340	217313	217340
30.500-19	214624	214739	214681	214739
30.500-20	301627	301675	301643	301675
30.500-21	299985	300055	300004	300055
30.500-22	304995	305087	305062	305087
30.500-23	301935	302032	302004	302032
30.500-24	304404	304462	304420	304462
30.500-25	296894	297012	296986	297012
30.500-26	303233	303364	303329	303364
30.500-27	306944	307007	306999	307007
30.500-28	303057	303199	303178	303199
30.500-29	300460	300572	300512	300572


Problem_Name	LP_optimal					
5.100-00	24585.90					
5.100-01	24538.21					
5.100-02	23895.83					
5.100-03	23724.14					
5.100-04	24223.03					
5.100-05	24884.24					
5.100-06	25793.40					
5.100-07	23657.88					
5.100-08	24445.62					
5.100-09	24635.69					
5.100-10	42939.52					
5.100-11	42706.70					
5.100-12	42165.19					
5.100-13	45347.07					
5.100-14	42434.12					
5.100-15	43082.23					
5.100-16	42190.60					
5.100-17	45265.47					
5.100-18	43567.49					
5.100-19	44796.63					
5.100-20	60016.56					
5.100-21	62228.22					
5.100-22	59963.30					
5.100-23	60644.21					
5.100-24	61338.96					
5.100-25	59161.87					
5.100-26	61696.08					
5.100-27	61727.46					
5.100-28	59618.01					
5.100-29	60242.91					
5.250-00	59442.47					
5.250-01	61629.34					
5.250-02	62259.54					
5.250-03	59578.23					
5.250-04	59078.37					
5.250-05	60238.93					
5.250-06	60525.77					
5.250-07	61638.40					
5.250-08	62032.59					
5.250-09	59050.47					
5.250-10	109220.64					
5.250-11	109960.34					
5.250-12	108648.76					
5.250-13	109510.79					
5.250-14	110834.24					
5.250-15	110366.84					
5.250-16	109152.61					
5.250-17	109137.66					
5.250-18	110123.06					
5.250-19	107162.12					
5.250-20	149765.67					
5.250-21	156084.27					
5.250-22	149433.90					
5.250-23	152244.81					
5.250-24	150469.53					
5.250-25	150132.75					
5.250-26	148697.06					
5.250-27	149906.64					
5.250-28	155209.92					
5.250-29	154818.79					
5.500-00	120234.92					
5.500-01	117955.16					
5.500-02	121213.33					
5.500-03	120888.52					
5.500-04	122426.49					
5.500-05	122125.97					
5.500-06	119218.76					
5.500-07	120643.13					
5.500-08	121663.28					
5.500-09	120800.68					
5.500-10	218500.08					
5.500-11	221272.41					
5.500-12	217615.80					
5.500-13	223653.21					
5.500-14	219067.47					
5.500-15	220616.96					
5.500-16	220076.55					
5.500-17	218282.71					
5.500-18	217059.90					
5.500-19	219812.82					
5.500-20	295896.38					
5.500-21	308157.60					
5.500-22	299878.64					
5.500-23	306554.13					
5.500-24	300412.56					
5.500-25	302661.75					
5.500-26	301400.25					
5.500-27	306517.27					
5.500-28	302896.76					
5.500-29	299973.72					
10.100-00	23480.64					
10.100-01	23220.69					
10.100-02	22493.74					
10.100-03	23087.47					
10.100-04	23073.88					
10.100-05	23053.49					
10.100-06	22257.79					
10.100-07	22964.17					
10.100-08	22882.44					
10.100-09	23090.58					
10.100-10	41712.64					
10.100-11	42597.32					
10.100-12	42759.32					
10.100-13	45959.36					
10.100-14	42183.12					
10.100-15	43377.96					
10.100-16	43927.94					
10.100-17	43335.83					
10.100-18	42611.60					
10.100-19	41542.79					
10.100-20	57626.33					
10.100-21	59268.56					
10.100-22	58654.69					
10.100-23	62202.25					
10.100-24	61170.24					
10.100-25	61688.39					
10.100-26	56663.34					
10.100-27	59663.69					
10.100-28	60518.80					
10.100-29	60986.06					
10.250-00	59489.34					
10.250-01	59024.30					
10.250-02	58413.15					
10.250-03	61263.00					
10.250-04	58363.34					
10.250-05	59052.33					
10.250-06	58894.67					
10.250-07	59204.53					
10.250-08	59701.69					
10.250-09	59495.16					
10.250-10	111147.15					
10.250-11	108947.62					
10.250-12	109211.37					
10.250-13	110306.49					
10.250-14	108728.52					
10.250-15	111106.80					
10.250-16	106371.33					
10.250-17	106922.73					
10.250-18	110094.44					
10.250-19	106973.07					
10.250-20	152031.39					
10.250-21	149021.62					
10.250-22	152141.26					
10.250-23	151490.02					
10.250-24	152169.55					
10.250-25	152326.76					
10.250-26	153365.44					
10.250-27	153765.16					
10.250-28	149372.83					
10.250-29	149916.72					
10.500-00	118019.48					
10.500-01	119437.29					
10.500-02	119405.70					
10.500-03	119066.09					
10.500-04	116697.96					
10.500-05	119709.95					
10.500-06	120033.31					
10.500-07	118545.71					
10.500-08	118001.60					
10.500-09	119440.64					
10.500-10	217552.92					
10.500-11	219255.19					
10.500-12	217987.78					
10.500-13	217040.67					
10.500-14	214010.31					
10.500-15	215261.33					
10.500-16	218109.20					
10.500-17	220175.56					
10.500-18	214561.04					
10.500-19	221083.64					
10.500-20	304555.03					
10.500-21	302552.97					
10.500-22	302581.54					
10.500-23	300956.72					
10.500-24	304584.73					
10.500-25	301952.52					
10.500-26	305139.73					
10.500-27	296636.57					
10.500-28	301547.63					
10.500-29	307249.99					
30.100-00	22579.07					
30.100-01	22367.84					
30.100-02	21270.50					
30.100-03	22049.63					
30.100-04	22531.45					
30.100-05	22910.07					
30.100-06	22530.09					
30.100-07	22088.76					
30.100-08	23201.21					
30.100-09	21524.82					
30.100-10	41276.36					
30.100-11	41866.73					
30.100-12	42232.96					
30.100-13	41634.88					
30.100-14	41410.88					
30.100-15	41603.16					
30.100-16	41616.13					
30.100-17	43388.05					
30.100-18	42656.56					
30.100-19	42262.70					
30.100-20	57987.77					
30.100-21	60486.82					
30.100-22	58541.84					
30.100-23	61239.52					
30.100-24	59380.82					
30.100-25	60452.58					
30.100-26	58635.34					
30.100-27	59550.71					
30.100-28	59520.22					
30.100-29	61140.16					
30.250-00	57430.15					
30.250-01	59080.03					
30.250-02	57176.74					
30.250-03	57568.92					
30.250-04	57277.70					
30.250-05	57844.08					
30.250-06	56922.69					
30.250-07	57106.21					
30.250-08	58097.73					
30.250-09	57036.64					
30.250-10	108258.07					
30.250-11	108899.80					
30.250-12	106905.72					
30.250-13	107396.61					
30.250-14	107954.09					
30.250-15	107763.21					
30.250-16	106850.86					
30.250-17	104574.09					
30.250-18	107373.84					
30.250-19	106321.78					
30.250-20	150574.32					
30.250-21	150341.50					
30.250-22	153434.29					
30.250-23	153689.77					
30.250-24	150697.73					
30.250-25	148996.54					
30.250-26	147914.67					
30.250-27	153312.34					
30.250-28	150037.90					
30.250-29	150037.66					
30.500-00	116619.01					
30.500-01	115370.13					
30.500-02	117342.45					
30.500-03	115946.40					
30.500-04	117079.29					
30.500-05	116377.55					
30.500-06	114689.65					
30.500-07	114847.83					
30.500-08	115902.61					
30.500-09	117668.77					
30.500-10	218601.52					
30.500-11	215074.71					
30.500-12	216401.07					
30.500-13	218350.48					
30.500-14	216094.51					
30.500-15	216327.35					
30.500-16	216376.30					
30.500-17	217014.09					
30.500-18	217839.18					
30.500-19	215218.48					
30.500-20	302038.76					
30.500-21	300455.00					
30.500-22	305501.21					
30.500-23	302456.21					
30.500-24	304901.35					
30.500-25	297409.44					
30.500-26	303765.88					
30.500-27	307402.50					
30.500-28	303605.92					
30.500-29	301020.63					
